Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-13T21:56:58.021Z","Included","auto","No","0","3003","403456","1553","408012","0.11"
"2026-03-13T21:56:32.562Z","Included","auto","No","0","11234","162816","3952","178002","0.08"
"2026-03-13T21:55:10.963Z","Included","auto","No","0","706","133120","201","134027","0.04"
"2026-03-13T21:54:36.758Z","Included","auto","No","0","7328","261120","1850","270298","0.09"
"2026-03-13T21:50:08.659Z","Included","auto","No","0","1859","258048","893","260800","0.07"
"2026-03-13T21:48:37.035Z","Included","auto","No","0","8127","507392","1885","517404","0.15"
"2026-03-13T21:47:48.439Z","Included","auto","No","0","5095","367616","2172","374883","0.11"
"2026-03-13T21:45:17.560Z","Included","auto","No","0","25304","356864","5818","387986","0.16"
"2026-03-13T21:43:37.047Z","Included","auto","No","0","8475","123904","2124","134503","0.05"
"2026-03-13T21:39:47.084Z","Included","auto","No","0","29102","353280","7107","389489","0.17"
"2026-03-13T21:39:37.167Z","Included","auto","No","0","10533","457216","3022","470771","0.15"
"2026-03-13T21:36:56.599Z","Included","auto","No","0","10837","971776","6381","988994","0.29"
"2026-03-13T21:34:05.796Z","Included","auto","No","0","8833","303616","3223","315672","0.11"
"2026-03-13T21:29:15.073Z","Included","auto","No","0","16264","673280","3093","692637","0.21"
"2026-03-13T21:28:24.985Z","Included","auto","No","0","3483","267264","1096","271843","0.08"
"2026-03-13T21:22:50.048Z","Included","auto","No","0","22720","871424","9057","903201","0.30"
"2026-03-13T21:13:15.585Z","Included","auto","No","0","5463","264192","3652","273307","0.09"
"2026-03-13T21:07:09.510Z","Included","auto","No","0","894","127488","497","128879","0.04"
"2026-03-13T21:02:50.750Z","Included","auto","No","0","4541","181760","2399","188700","0.07"
"2026-03-13T21:01:52.889Z","Included","auto","No","0","49007","10752","662","60421","0.07"
"2026-03-13T20:48:07.588Z","Included","auto","No","0","92318","1525248","22506","1640072","0.63"
"2026-03-13T20:45:44.522Z","Included","auto","No","0","9123","110080","2552","121755","0.05"
"2026-03-11T23:58:41.084Z","Included","auto","No","0","13595","26112","2505","42212","0.04"
"2026-03-09T18:20:08.154Z","Included","auto","No","0","48562","232864","7202","288628","0.16"
"2026-03-09T16:29:33.953Z","Included","auto","No","0","328038","368480","15127","711645","0.59"
"2026-03-09T16:20:53.422Z","Included","auto","No","0","186408","1604864","19429","1810701","0.75"
"2026-03-09T16:18:41.644Z","Included","auto","No","0","320720","1200672","5755","1527147","0.74"
"2026-03-09T16:00:47.959Z","Included","auto","No","0","9598","2216064","8824","2234486","0.62"
"2026-03-09T15:49:58.570Z","Included","auto","No","0","8755","1607168","10938","1626861","0.48"
"2026-03-09T15:43:14.953Z","Included","auto","No","0","9088","1710528","8497","1728113","0.49"
"2026-03-09T15:35:55.864Z","Included","auto","No","0","140828","2878016","15359","3034203","0.99"
"2026-03-09T15:28:40.576Z","Included","auto","No","0","91496","3057056","22324","3170876","1.01"
"2026-03-09T15:28:14.980Z","Included","auto","No","0","7478","69152","1544","78174","0.04"
"2026-03-09T15:25:58.659Z","Included","auto","No","0","37080","475744","8125","520949","0.21"
"2026-03-09T14:50:13.412Z","Included","auto","No","0","345363","1020256","23317","1388936","0.83"
"2026-03-08T23:39:27.643Z","Included","auto","No","0","8148","642560","3993","654701","0.19"
"2026-03-08T23:32:33.927Z","Included","auto","No","0","116461","966656","5657","1088774","0.42"
"2026-03-07T21:27:49.289Z","Included","auto","No","0","3450","337920","922","342292","0.09"
"2026-03-07T21:21:53.686Z","Included","auto","No","0","12248","543232","4470","559950","0.18"
"2026-03-07T21:20:33.876Z","Included","auto","No","0","6719","407040","3136","416895","0.13"
"2026-03-07T21:19:42.976Z","Included","auto","No","0","7473","97280","1477","106230","0.04"
"2026-03-07T21:15:27.683Z","Included","auto","No","0","20268","1012736","5464","1038468","0.31"
"2026-03-07T21:13:46.955Z","Included","auto","No","0","10483","406016","1938","418437","0.13"
"2026-03-07T21:05:11.352Z","Included","auto","No","0","15393","630784","7127","653304","0.22"
"2026-03-07T21:04:46.386Z","Included","auto","No","0","4536","121344","195","126075","0.04"
"2026-03-07T21:01:38.118Z","Included","auto","No","0","2929","177152","910","180991","0.05"
"2026-03-07T20:59:37.121Z","Included","auto","No","0","12245","220160","4170","236575","0.10"
"2026-03-07T20:58:32.909Z","Included","auto","No","0","66328","160768","4186","231282","0.15"
"2026-03-06T01:43:17.301Z","Included","auto","No","0","47677","173888","6470","228035","0.14"
"2026-03-06T01:40:06.020Z","Included","auto","No","0","42409","279648","1411","323468","0.13"
"2026-03-06T01:37:33.311Z","Included","auto","No","0","112262","2026473","44062","2182797","0.91"
"2026-03-06T01:36:06.026Z","Included","auto","No","0","17779","762981","17197","797957","0.32"
"2026-03-06T01:32:58.063Z","Included","auto","No","0","189819","190432","12494","392745","0.36"
"2026-03-06T01:31:04.072Z","Included","auto","No","0","199003","1116064","15696","1330763","0.62"
"2026-03-06T01:17:06.096Z","Included","auto","No","0","184860","2658944","21493","2865297","1.02"
"2026-03-06T01:13:24.302Z","Included","auto","No","0","15684","822624","1425","839733","0.23"
"2026-03-06T01:11:47.372Z","Included","auto","No","0","707","162272","613","163592","0.05"
"2026-03-06T01:11:10.469Z","Included","auto","No","0","22583","462336","617","485536","0.15"
